id,version_active,file_bytes,create_date,create_uid/id,cte_name,model,file_filter,odoo_model/id,sga_file_var_ids/id,sga_file_var_ids/adaia_type,sga_file_var_ids/name,sga_file_var_ids/odoo_name/id,sga_file_var_ids/fillchar,sga_file_var_ids/create_date,sga_file_var_ids/create_uid/id,sga_file_var_ids/en,sga_file_var_ids/st,sga_file_var_ids/length_dec,sga_file_var_ids/length_int,sga_file_var_ids/length,sga_file_var_ids/odoo_model/id,sga_file_var_ids/required,sga_file_var_ids/sequence,sga_file_var_ids/default,sga_file_var_ids/write_uid/id,sga_file_var_ids/write_date,description,code,version,write_uid/id,write_date
__export__.sgavar_file_37_25d6085a,False,276,2019-11-15 10:48:16,__export__.res_users_5_8063b05c,"Batch por picks, recepción",Transferir,,sga_ulma_integration.model_stock_picking,__export__.sgavar_file_var_600_1a1a4774,Fecha,FECORD,__export__.ir_model_fields_8590_7acc3e09, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,8,61,0,8,8,sga_ulma_integration.model_stock_picking,True,7,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,BPP,0,__export__.res_users_5_8063b05c,2019-11-15 11:13:28
,,,,,,,,,__export__.sgavar_file_var_1088_433e4f22,Hora,FECREC,stock.field_stock_picking_date_done, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,76,69,0,8,8,sga_ulma_integration.model_stock_picking,False,8,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_570_0a45c89e,Alfanumerico,HORREC,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,80,77,0,4,4,sga_ulma_integration.model_stock_picking,False,9,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1050_7537a5f6,Alfanumerico,OBS,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,120,81,0,40,40,sga_ulma_integration.model_stock_picking,False,10,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_634_51501013,Alfanumerico,TERRESREF,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,136,121,0,16,16,sga_ulma_integration.model_stock_picking,False,11,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1150_3zwzj87s,Alfanumerico,RECORDSUBTIP,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,140,137,0,4,4,sga_ulma_integration.model_stock_picking,False,12,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_714_8bc77521,Alfanumerico,PRVCAMCOM,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,260,141,0,160,160,sga_ulma_integration.model_stock_picking,False,13,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1136_4hk8pxdx,one2many,MOVE_LINES,sga_adaia_integration.field_stock_picking_adaia_move_ids, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,14,MVL,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
__export__.sgavar_file_38_4eefb65f,False,124,2019-11-15 10:48:16,__export__.res_users_5_8063b05c,"Batch por picks, confirmation",Transferir,,sga_ulma_integration.model_stock_picking,__export__.sgavar_file_var_616_2c21c95d,Alfanumerico,RECORDTIP,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,69,66,0,4,4,sga_ulma_integration.model_stock_picking,True,7,ENPR,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,BPP,1,__export__.res_users_5_8063b05c,2019-11-15 11:13:28
,,,,,,,,,__export__.sgavar_file_var_1113_568e5b46,Alfanumerico,ALBARA,stock.field_stock_picking_name, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,86,70,0,17,17,sga_ulma_integration.model_stock_picking,True,8,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_582_6fb5e32f,Fecha,FECREC,stock.field_stock_picking_date_done, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,94,87,0,8,8,sga_ulma_integration.model_stock_picking,True,9,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1089_daa96e8b,Hora,HORREC,stock.field_stock_picking_date_done, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,98,95,0,5,5,sga_ulma_integration.model_stock_picking,True,10,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_646_dba4da85,Alfanumerico,OBS,stock.field_stock_picking_note, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,139,99,0,40,40,sga_ulma_integration.model_stock_picking,False,11,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_1166_3vf7ntou,one2many,MOVE_LINES,sga_adaia_integration.field_stock_picking_adaia_move_ids,,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,12,MVL,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
__export__.sgavar_file_39_94b325e8,False,287,2019-11-15 10:48:16,__export__.res_users_5_8063b05c,Movimiento de Stock,Transferir,,sga_ulma_integration.model_stock_picking,__export__.sgavar_file_var_632_b376b9a5,Alfanumerico,EXPORDTIP,sga_adaia_integration.field_stock_picking_adaia_code, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,59,56,0,4,4,sga_ulma_integration.model_stock_picking,False,7,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,MVL,0,__export__.res_users_5_8063b05c,2019-11-15 11:13:28
,,,,,,,,,__export__.sgavar_file_var_1133_1sy1sw66,Related-Alfanumérico,EXPORDSUBTIP,shipping_type.field_stock_picking_delivery_route_path_id, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,63,60,0,4,4,sga_ulma_integration.model_stock_picking,False,8,name,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
,,,,,,,,,__export__.sgavar_file_var_602_369662cd,Alfanumerico,TRAREF,, ,2019-11-15 11:13:28,__export__.res_users_5_8063b05c,79,64,0,16,16,sga_ulma_integration.model_stock_picking,False,9,,__export__.res_users_5_8063b05c,2019-11-15 11:13:28,,,,,
