id,version_active,file_bytes,cte_name,model,file_filter,odoo_model/id,description,code,version,sga_file_var_ids/id,sga_file_var_ids/adaia_type,sga_file_var_ids/name,sga_file_var_ids/odoo_name/id,sga_file_var_ids/fillchar,sga_file_var_ids/en,sga_file_var_ids/st,sga_file_var_ids/length_dec,sga_file_var_ids/length_int,sga_file_var_ids/length,sga_file_var_ids/odoo_model/id,sga_file_var_ids/required,sga_file_var_ids/sequence,sga_file_var_ids/default
,,,,,,,,,,__export__.sgavar_file_var_556_73903ca4,Alfanumerico,RECORDREF,sga_adaia_integration.field_stock_picking_sga_adaia_picking_name, ,22,7,0,16,16,sga_ulma_integration.model_stock_picking,True,2,
,,,,,,,,,,__export__.sgavar_file_var_557_8b6b0e20,Numérico,ALMREF,, ,24,23,0,2,2,sga_ulma_integration.model_stock_picking,True,3,1
,,,,,,,,,,__export__.sgavar_file_var_558_5c5846d0,Alfanumerico,TERREF,sga_adaia_integration.field_stock_picking_sga_adaia_partner_ref, ,40,25,0,16,16,sga_ulma_integration.model_stock_picking,True,4,
,,,,,,,,,,__export__.sgavar_file_var_559_69f4b43a,Alfanumerico,TERPROREF,, ,56,41,0,16,16,sga_ulma_integration.model_stock_picking,False,5,
,,,,,,,,,,__export__.sgavar_file_var_560_a053110a,Alfanumerico,RECORDTIP,, ,60,57,0,4,4,sga_ulma_integration.model_stock_picking,True,6,ENPR
,,,,,,,,,,__export__.sgavar_file_var_561_a1150b59,Fecha,FECORD,__export__.ir_model_fields_8590_7acc3e09, ,8,61,0,8,8,sga_ulma_integration.model_stock_picking,True,7,
,,,,,,,,,,__export__.sgavar_file_var_562_72176d43,Hora,FECREC,stock.field_stock_picking_date_done, ,76,69,0,8,8,sga_ulma_integration.model_stock_picking,False,8,
,,,,,,,,,,__export__.sgavar_file_var_563_0172f0cd,Alfanumerico,HORREC,, ,80,77,0,4,4,sga_ulma_integration.model_stock_picking,False,9,
,,,,,,,,,,__export__.sgavar_file_var_564_dcb9ff46,Alfanumerico,OBS,, ,120,81,0,40,40,sga_ulma_integration.model_stock_picking,False,10,
,,,,,,,,,,__export__.sgavar_file_var_565_637feb67,Alfanumerico,TERRESREF,, ,136,121,0,16,16,sga_ulma_integration.model_stock_picking,False,11,
,,,,,,,,,,__export__.sgavar_file_var_566_f6a164bb,Alfanumerico,RECORDSUBTIP,, ,140,137,0,4,4,sga_ulma_integration.model_stock_picking,False,12,
,,,,,,,,,,__export__.sgavar_file_var_567_24e7e249,Alfanumerico,PRVCAMCOM,, ,260,141,0,160,160,sga_ulma_integration.model_stock_picking,False,13,
,,,,,,,,,,__export__.sgavar_file_var_2_eee660a6,one2many,MOVE_LINES,sga_adaia_integration.field_stock_picking_adaia_move_ids, ,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,14,OSL
,,,,,,,,,,__export__.sgavar_file_var_570_0a45c89e,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_picking,True,1,AG
,,,,,,,,,,__export__.sgavar_file_var_571_e75f5986,Numérico,RECCOD,sga_adaia_integration.field_stock_picking_sga_adaia_picking_name, ,15,7,0,9,9,sga_ulma_integration.model_stock_picking,True,2,
,,,,,,,,,,__export__.sgavar_file_var_572_325b52ce,Numérico,ALMREF,, ,17,16,0,2,2,sga_ulma_integration.model_stock_picking,True,3,1
,,,,,,,,,,__export__.sgavar_file_var_573_b547d03a,Alfanumerico,RECORDREF,sga_adaia_integration.field_stock_picking_sga_adaia_picking_name, ,33,18,0,16,16,sga_ulma_integration.model_stock_picking,True,4,
,,,,,,,,,,__export__.sgavar_file_var_574_f0662995,Related-Alfanumérico,TERREF,stock.field_stock_picking_partner_id, ,49,34,0,16,16,sga_ulma_integration.model_stock_picking,True,5,ref
,,,,,,,,,,__export__.sgavar_file_var_575_f571dfa3,Alfanumerico,TERPROREF,, ,65,50,0,16,16,sga_ulma_integration.model_stock_picking,False,6,
,,,,,,,,,,__export__.sgavar_file_var_576_72bcbecc,Alfanumerico,RECORDTIP,, ,69,66,0,4,4,sga_ulma_integration.model_stock_picking,True,7,ENPR
,,,,,,,,,,__export__.sgavar_file_var_577_233cafab,Alfanumerico,ALBARA,stock.field_stock_picking_name, ,86,70,0,17,17,sga_ulma_integration.model_stock_picking,True,8,
,,,,,,,,,,__export__.sgavar_file_var_578_837d77c5,Fecha,FECREC,stock.field_stock_picking_date_done, ,94,87,0,8,8,sga_ulma_integration.model_stock_picking,True,9,
,,,,,,,,,,__export__.sgavar_file_var_579_139565ed,Hora,HORREC,stock.field_stock_picking_date_done, ,98,95,0,5,5,sga_ulma_integration.model_stock_picking,True,10,
,,,,,,,,,,__export__.sgavar_file_var_580_d1545318,Alfanumerico,OBS,stock.field_stock_picking_note, ,139,99,0,40,40,sga_ulma_integration.model_stock_picking,False,11,
,,,,,,,,,,__export__.sgavar_file_var_569_0f7d8ca3,one2many,MOVE_LINES,sga_adaia_integration.field_stock_picking_adaia_move_ids,,0,0,0,0,0,sga_ulma_integration.model_stock_picking,True,12,OIN
,,,,,,,,,,__export__.sgavar_file_var_583_5ff88451,Alfanumerico,ACCION,, ,6,5,0,2,2,sga_ulma_integration.model_stock_picking,True,2,MO
,,,,,,,,,,__export__.sgavar_file_var_584_7b43f07a,Alfanumerico,EXPORDREF,sga_adaia_integration.field_stock_picking_sga_adaia_picking_name, ,21,7,0,15,15,sga_ulma_integration.model_stock_picking,True,3,
,,,,,,,,,,__export__.sgavar_file_var_585_3401c89c,Numérico,ALMREF,, ,23,22,0,2,2,sga_ulma_integration.model_stock_picking,True,4,1
,,,,,,,,,,__export__.sgavar_file_var_586_2607cc8c,Related-Alfanumérico,TERREF,stock.field_stock_picking_partner_id, ,39,24,0,16,16,sga_ulma_integration.model_stock_picking,True,5,ref
,,,,,,,,,,__export__.sgavar_file_var_587_e15dc7d5,Alfanumerico,TERPROREF,, ,55,40,0,16,16,sga_ulma_integration.model_stock_picking,False,6,
,,,,,,,,,,__export__.sgavar_file_var_588_ff8a5931,Alfanumerico,EXPORDTIP,sga_adaia_integration.field_stock_picking_adaia_code, ,59,56,0,4,4,sga_ulma_integration.model_stock_picking,False,7,
,,,,,,,,,,__export__.sgavar_file_var_589_366975ce,Related-Alfanumérico,EXPORDSUBTIP,shipping_type.field_stock_picking_delivery_route_path_id, ,63,60,0,4,4,sga_ulma_integration.model_stock_picking,False,8,name
,,,,,,,,,,__export__.sgavar_file_var_590_644685a7,Alfanumerico,TRAREF,, ,79,64,0,16,16,sga_ulma_integration.model_stock_picking,False,9,
,,,,,,,,,,__export__.sgavar_file_var_591_453df48e,Fecha,FECORD,__export__.ir_model_fields_8590_7acc3e09, ,87,80,0,8,8,sga_ulma_integration.model_stock_picking,False,10,
,,,,,,,,,,__export__.sgavar_file_var_592_549747f4,Alfanumerico,FECEXP,, ,95,88,0,8,8,sga_ulma_integration.model_stock_picking,False,11,
,,,,,,,,,,__export__.sgavar_file_var_593_ba4b0231,Alfanumerico,HOREXP,, ,99,96,0,4,4,sga_ulma_integration.model_stock_picking,False,12,
,,,,,,,,,,__export__.sgavar_file_var_594_bc144cde,Alfanumerico,URGENT,, ,100,100,0,1,1,sga_ulma_integration.model_stock_picking,True,13,N
,,,,,,,,,,__export__.sgavar_file_var_595_fc2c7947,Alfanumerico,OBS,, ,140,101,0,40,40,sga_ulma_integration.model_stock_picking,False,14,
