"id","version_active","file_bytes","cte_name","model","file_filter","odoo_model/id","sga_file_var_ids/adaia_type","sga_file_var_ids/name","sga_file_var_ids/odoo_name/id","sga_file_var_ids/fillchar","sga_file_var_ids/en","sga_file_var_ids/st","sga_file_var_ids/length_dec","sga_file_var_ids/length_int","sga_file_var_ids/length","sga_file_var_ids/odoo_model/id","sga_file_var_ids/required","sga_file_var_ids/sequence","sga_file_var_ids/default","description","code","version"
"__export__.sgavar_file_1_548dfa6f","False","300","Order de recepción","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","Alfanumerico","TIPEREG",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_picking","True","0","ORCA","","INR","0"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","sga_ulma_integration.model_stock_picking","True","1","MO","","",""
"","","","","","","","Alfanumerico","RECORDREF","sga_adaia_integration.field_stock_picking_sga_adaia_picking_name"," ","22","7","0","16","16","sga_ulma_integration.model_stock_picking","True","2","","","",""
"","","","","","","","Numérico","ALMREF",""," ","24","23","0","2","2","sga_ulma_integration.model_stock_picking","True","3","01","","",""
"","","","","","","","Alfanumerico","TERREF","sga_adaia_integration.field_stock_picking_sga_adaia_partner_ref"," ","40","25","0","16","16","sga_ulma_integration.model_stock_picking","True","4","","","",""
"","","","","","","","Alfanumerico","TERPROREF",""," ","56","41","0","16","16","sga_ulma_integration.model_stock_picking","False","5","","","",""
"","","","","","","","Alfanumerico","RECORDTIP",""," ","60","57","0","4","4","sga_ulma_integration.model_stock_picking","True","6","ENPR","","",""
"","","","","","","","Fecha","FECORD","__export__.ir_model_fields_8590_7acc3e09"," ","8","61","0","8","8","sga_ulma_integration.model_stock_picking","True","7","","","",""
"","","","","","","","Hora","FECREC","stock.field_stock_picking_date_done"," ","76","69","0","8","8","sga_ulma_integration.model_stock_picking","False","8","","","",""
"","","","","","","","Alfanumerico","HORREC",""," ","80","77","0","4","4","sga_ulma_integration.model_stock_picking","False","9","","","",""
"","","","","","","","Alfanumerico","OBS",""," ","120","81","0","40","40","sga_ulma_integration.model_stock_picking","False","10","","","",""
"","","","","","","","Alfanumerico","TERRESREF",""," ","136","121","0","16","16","sga_ulma_integration.model_stock_picking","False","11","","","",""
"","","","","","","","Alfanumerico","RECORDSUBTIP",""," ","140","137","0","4","4","sga_ulma_integration.model_stock_picking","False","12","","","",""
"","","","","","","","Alfanumerico","PRVCAMCOM",""," ","260","141","0","160","160","sga_ulma_integration.model_stock_picking","False","13","","","",""
"","","","","","","","one2many","MOVE_LINES","sga_adaia_integration.field_stock_picking_adaia_move_ids"," ","0","0","0","0","0","sga_ulma_integration.model_stock_picking","True","14","MVL","","",""
"__export__.sgavar_file_2_5484226f","False","139","Confirmación de recepción","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","Alfanumerico","TIPREG",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_picking","True","0","CRCA","","INR","1"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","sga_ulma_integration.model_stock_picking","True","1","AG","","",""
"","","","","","","","Numérico","RECCOD","sga_adaia_integration.field_stock_picking_sga_adaia_picking_name"," ","15","7","0","9","9","sga_ulma_integration.model_stock_picking","True","2","","","",""
"","","","","","","","Numérico","ALMREF",""," ","17","16","0","2","2","sga_ulma_integration.model_stock_picking","True","3","1","","",""
"","","","","","","","Alfanumerico","RECORDREF","sga_adaia_integration.field_stock_picking_sga_adaia_picking_name"," ","33","18","0","16","16","sga_ulma_integration.model_stock_picking","True","4","","","",""
"","","","","","","","Related-Alfanumérico","TERREF","stock.field_stock_picking_partner_id"," ","49","34","0","16","16","sga_ulma_integration.model_stock_picking","True","5","ref","","",""
"","","","","","","","Alfanumerico","TERPROREF",""," ","65","50","0","16","16","sga_ulma_integration.model_stock_picking","False","6","","","",""
"","","","","","","","Alfanumerico","RECORDTIP",""," ","69","66","0","4","4","sga_ulma_integration.model_stock_picking","True","7","ENPR","","",""
"","","","","","","","Alfanumerico","ALBARA","stock.field_stock_picking_name"," ","86","70","0","17","17","sga_ulma_integration.model_stock_picking","True","8","","","",""
"","","","","","","","Fecha","FECREC","stock.field_stock_picking_date_done"," ","94","87","0","8","8","sga_ulma_integration.model_stock_picking","True","9","","","",""
"","","","","","","","Hora","HORREC","stock.field_stock_picking_date_done"," ","98","95","0","5","5","sga_ulma_integration.model_stock_picking","True","10","","","",""
"","","","","","","","Alfanumerico","OBS","stock.field_stock_picking_note"," ","139","99","0","40","40","sga_ulma_integration.model_stock_picking","False","11","","","",""
"","","","","","","","one2many","MOVE_LINES","sga_adaia_integration.field_stock_picking_adaia_move_ids","","0","0","0","0","0","sga_ulma_integration.model_stock_picking","True","12","MIN","","",""
"__export__.sgavar_file_3_f45afa6f","False","326","Orden de expedición","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","Alfanumerico","TIPREG",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_picking","True","1","OECA","","OUT","0"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","sga_ulma_integration.model_stock_picking","True","2","MO","","",""
"","","","","","","","Alfanumerico","EXPORDREF","sga_adaia_integration.field_stock_picking_sga_adaia_picking_name"," ","21","7","0","15","15","sga_ulma_integration.model_stock_picking","True","3","","","",""
"","","","","","","","Numérico","ALMREF",""," ","23","22","0","2","2","sga_ulma_integration.model_stock_picking","True","4","01","","",""
"","","","","","","","Related-Alfanumérico","TERREF","stock.field_stock_picking_partner_id"," ","39","24","0","16","16","sga_ulma_integration.model_stock_picking","True","5","ref","","",""
"","","","","","","","Alfanumerico","TERPROREF",""," ","55","40","0","16","16","sga_ulma_integration.model_stock_picking","False","6","","","",""
"","","","","","","","Alfanumerico","EXPORDTIP","sga_adaia_integration.field_stock_picking_adaia_code"," ","59","56","0","4","4","sga_ulma_integration.model_stock_picking","False","7","","","",""
"","","","","","","","Related-Alfanumérico","EXPORDSUBTIP","shipping_type.field_stock_picking_delivery_route_path_id"," ","63","60","0","4","4","sga_ulma_integration.model_stock_picking","False","8","name","","",""
"","","","","","","","Alfanumerico","TRAREF",""," ","79","64","0","16","16","sga_ulma_integration.model_stock_picking","False","9","","","",""
"","","","","","","","Fecha","FECORD","__export__.ir_model_fields_8590_7acc3e09"," ","87","80","0","8","8","sga_ulma_integration.model_stock_picking","False","10","","","",""
"","","","","","","","Alfanumerico","FECEXP",""," ","95","88","0","8","8","sga_ulma_integration.model_stock_picking","False","11","","","",""
"","","","","","","","Alfanumerico","HOREXP",""," ","99","96","0","4","4","sga_ulma_integration.model_stock_picking","False","12","","","",""
"","","","","","","","Alfanumerico","URGENT",""," ","100","100","0","1","1","sga_ulma_integration.model_stock_picking","True","13","N","","",""
"","","","","","","","Alfanumerico","OBS",""," ","140","101","0","40","40","sga_ulma_integration.model_stock_picking","False","14","","","",""
"","","","","","","","Alfanumerico","MUEEXP","sga_adaia_integration.field_stock_picking_adaia_dock"," ","146","141","0","6","6","sga_ulma_integration.model_stock_picking","False","15","","","",""
"","","","","","","","Alfanumerico","PRVCAMCOM",""," ","306","147","0","160","160","sga_ulma_integration.model_stock_picking","False","16","","","",""
"","","","","","","","Alfanumerico","AGROEXGENACC","sga_adaia_integration.field_stock_picking_adaia_group"," ","322","307","0","16","16","sga_ulma_integration.model_stock_picking","False","17","","","",""
"","","","","","","","Numérico","NUMVER",""," ","326","323","0","4","4","sga_ulma_integration.model_stock_picking","False","18","0","","",""
"","","","","","","","one2many","MOVE_LINES","sga_adaia_integration.field_stock_picking_adaia_move_ids"," ","0","0","0","0","0","sga_ulma_integration.model_stock_picking","True","19","MLO","","",""
"__export__.sgavar_file_4_48d6546f","False","303","Confirmación de expedición","Operación de empaquetado","","sga_ulma_integration.model_stock_picking","Alfanumerico","TIPREF",""," ","4","1","0","4","4","sga_ulma_integration.model_stock_picking","True","0","CECA","","OUT","1"
