"id","version_active","file_bytes","create_uid/id","create_date","cte_name","file_filter","write_uid/id","write_date","model","odoo_model/id","sga_file_var_ids/id","sga_file_var_ids/adaia_type","sga_file_var_ids/name","sga_file_var_ids/odoo_name/id","sga_file_var_ids/fillchar","sga_file_var_ids/create_uid/id","sga_file_var_ids/create_date","sga_file_var_ids/en","sga_file_var_ids/st","sga_file_var_ids/length_dec","sga_file_var_ids/length_int","sga_file_var_ids/write_uid/id","sga_file_var_ids/write_date","sga_file_var_ids/length","sga_file_var_ids/required","sga_file_var_ids/odoo_model/id","sga_file_var_ids/sequence","sga_file_var_ids/default","description","code","version"
"sga_adaia_integration.sgvar_file_order_reception","False","403","base.user_root","2019-05-29 07:56:20","Order de recepción","","__export__.res_users_5_246af995","2019-06-11 11:24:57","Transferir","mrp_bom_phantom_fix.model_stock_picking","__export__.sgavar_file_var_1_e9e693de","Alfanumerico","TIPEREG",""," ","__export__.res_users_5_246af995","2019-04-24 09:33:53","4","1","0","4","__export__.res_users_5_246af995","2019-04-25 08:49:44","4","True","mrp_bom_phantom_fix.model_stock_picking","0","ORCA","","INR","0"
"","","","","","","","","","","","__export__.sgavar_file_var_3_7f9ce4be","Alfanumerico","ACCION",""," ","","","6","5","0","2","","","2","True","mrp_bom_phantom_fix.model_stock_picking","1","AG","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_556_73903ca4","Alfanumerico","RECORDREF","stock.field_stock_picking_name"," ","","","22","7","0","16","","","16","True","mrp_bom_phantom_fix.model_stock_picking","2","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_557_8b6b0e20","Related-Alfanumérico","ALMREF","stock.field_stock_picking_location_dest_id"," ","","","24","23","0","2","","","2","True","mrp_bom_phantom_fix.model_stock_picking","3","id","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_558_5c5846d0","Related-Alfanumérico","TERREF","stock.field_stock_picking_partner_id"," ","","","40","25","0","16","","","16","True","mrp_bom_phantom_fix.model_stock_picking","4","id","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_559_69f4b43a","Related-Alfanumérico","TERPROREF","stock.field_stock_picking_partner_id"," ","","","56","41","0","16","","","16","True","mrp_bom_phantom_fix.model_stock_picking","5","id","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_560_a053110a","Alfanumerico","RECORDTIP",""," ","","","60","57","0","4","","","4","True","mrp_bom_phantom_fix.model_stock_picking","6","ENPR","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_561_a1150b59","Fecha","FECORD","stock.field_stock_picking_date"," ","","","8","61","0","8","","","8","True","mrp_bom_phantom_fix.model_stock_picking","7","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_562_72176d43","Fecha","FECREC","stock.field_stock_picking_scheduled_date"," ","","","76","69","0","8","","","8","False","mrp_bom_phantom_fix.model_stock_picking","8","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_563_0172f0cd","Hora","HORREC","stock.field_stock_picking_scheduled_date"," ","","","80","77","0","4","","","4","False","mrp_bom_phantom_fix.model_stock_picking","9","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_564_dcb9ff46","Alfanumerico","OBS","stock.field_stock_picking_note"," ","","","120","81","0","40","","","40","False","mrp_bom_phantom_fix.model_stock_picking","10","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_565_637feb67","Alfanumerico","TERRESREF",""," ","","","136","121","0","16","","","16","False","mrp_bom_phantom_fix.model_stock_picking","11","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_566_f6a164bb","Alfanumerico","RECORDSUBTIP",""," ","","","140","137","0","4","","","4","False","mrp_bom_phantom_fix.model_stock_picking","12","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_567_24e7e249","Alfanumerico","PRVCAMCOM",""," ","","","260","141","0","160","","","160","False","mrp_bom_phantom_fix.model_stock_picking","13","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_2_eee660a6","one2many","MOVE_LINES","stock.field_stock_picking_move_line_ids","","","","0","0","0","0","__export__.res_users_5_246af995","2019-06-11 11:24:57","0","True","mrp_bom_phantom_fix.model_stock_picking","14","ORL","","",""
"sga_adaia_integration.sgvar_file_confirmation_order_reception","False","306","base.user_root","2019-05-29 07:56:20","Confirmación de recepción","","__export__.res_users_5_246af995","2019-06-11 11:24:45","Transferir","mrp_bom_phantom_fix.model_stock_picking","__export__.sgavar_file_var_568_1cdd59bf","Alfanumerico","TIPREG",""," ","","","4","1","0","4","","","4","True","mrp_bom_phantom_fix.model_stock_picking","0","CRCA","","INR","1"
"","","","","","","","","","","","__export__.sgavar_file_var_570_0a45c89e","Alfanumerico","ACCION",""," ","","","6","5","0","2","__export__.res_users_5_246af995","2019-05-29 10:05:22","2","True","mrp_bom_phantom_fix.model_stock_picking","1","AG","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_571_e75f5986","Numerico","RECCOD","stock.field_stock_picking_name"," ","","","15","7","0","9","__export__.res_users_5_246af995","2019-05-29 10:05:22","9","True","mrp_bom_phantom_fix.model_stock_picking","2","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_572_325b52ce","Related-Numérico","ALMREF","stock.field_stock_picking_location_dest_id"," ","","","17","16","0","2","__export__.res_users_5_246af995","2019-05-29 10:05:22","2","True","mrp_bom_phantom_fix.model_stock_picking","3","id","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_573_b547d03a","Alfanumerico","RECORDREF","stock.field_stock_picking_name"," ","","","33","18","0","16","__export__.res_users_5_246af995","2019-05-29 10:05:22","16","True","mrp_bom_phantom_fix.model_stock_picking","4","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_574_f0662995","Related-Alfanumérico","TERREF","stock.field_stock_picking_partner_id"," ","","","49","34","0","16","__export__.res_users_5_246af995","2019-05-29 10:05:22","16","True","mrp_bom_phantom_fix.model_stock_picking","5","id","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_575_f571dfa3","Related-Alfanumérico","TERPROREF","stock.field_stock_picking_partner_id"," ","","","65","50","0","16","__export__.res_users_5_246af995","2019-05-29 10:05:22","16","True","mrp_bom_phantom_fix.model_stock_picking","6","id","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_576_72bcbecc","Alfanumerico","RECORDTIP",""," ","","","69","66","0","4","__export__.res_users_5_246af995","2019-05-29 10:05:22","4","True","mrp_bom_phantom_fix.model_stock_picking","7","ENPR","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_577_233cafab","Alfanumerico","ALBARA","stock.field_stock_picking_name"," ","","","86","70","0","17","__export__.res_users_5_246af995","2019-05-29 10:05:22","17","True","mrp_bom_phantom_fix.model_stock_picking","8","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_578_837d77c5","Fecha","FECREC","stock.field_stock_picking_date_done"," ","","","94","87","0","8","__export__.res_users_5_246af995","2019-05-29 10:05:22","8","True","mrp_bom_phantom_fix.model_stock_picking","9","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_579_139565ed","Hora","HORREC","stock.field_stock_picking_date_done"," ","","","98","95","0","5","__export__.res_users_5_246af995","2019-05-29 10:05:22","5","True","mrp_bom_phantom_fix.model_stock_picking","10","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_580_d1545318","Alfanumerico","OBS","stock.field_stock_picking_note"," ","","","139","99","0","40","__export__.res_users_5_246af995","2019-05-29 10:05:22","40","False","mrp_bom_phantom_fix.model_stock_picking","11","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_569_0f7d8ca3","one2many","MOVE_LINES","stock.field_stock_picking_move_line_ids","","","","0","0","0","0","__export__.res_users_5_246af995","2019-06-11 11:24:45","0","True","mrp_bom_phantom_fix.model_stock_picking","12","CRL","","",""
"sga_adaia_integration.sgvar_file_order_expedition","False","326","base.user_root","2019-05-29 07:56:20","Orden de expedición","","__export__.res_users_5_246af995","2019-06-11 09:31:18","Transferir","mrp_bom_phantom_fix.model_stock_picking","__export__.sgavar_file_var_582_6fb5e32f","Alfanumerico","TIPREG",""," ","","","4","1","0","4","","","4","True","mrp_bom_phantom_fix.model_stock_picking","1","OECA","","OUT","0"
"","","","","","","","","","","","__export__.sgavar_file_var_583_5ff88451","Alfanumerico","ACCION",""," ","","","6","5","0","2","","","2","True","mrp_bom_phantom_fix.model_stock_picking","2","AG","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_584_7b43f07a","Alfanumerico","EXPORDREF","stock.field_stock_picking_name"," ","","","21","7","0","15","","","15","True","mrp_bom_phantom_fix.model_stock_picking","3","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_585_3401c89c","Related-Numérico","ALMREF","stock.field_stock_picking_location_id"," ","","","23","22","0","2","","","2","True","mrp_bom_phantom_fix.model_stock_picking","4","id","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_586_2607cc8c","Related-Alfanumérico","TERREF","stock.field_stock_picking_partner_id"," ","","","39","24","0","16","","","16","True","mrp_bom_phantom_fix.model_stock_picking","5","id","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_587_e15dc7d5","Alfanumerico","TERPROREF",""," ","","","55","40","0","16","","","16","False","mrp_bom_phantom_fix.model_stock_picking","6","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_588_ff8a5931","Alfanumerico","EXPORDTIP",""," ","","","59","56","0","4","","","4","False","mrp_bom_phantom_fix.model_stock_picking","7","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_589_366975ce","Alfanumerico","EXPORDSUBTIP",""," ","","","63","60","0","4","","","4","False","mrp_bom_phantom_fix.model_stock_picking","8","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_590_644685a7","Alfanumerico","TRAREF",""," ","","","79","64","0","16","","","16","False","mrp_bom_phantom_fix.model_stock_picking","9","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_591_453df48e","Fecha","FECORD","stock.field_stock_picking_date"," ","","","87","80","0","8","","","8","True","mrp_bom_phantom_fix.model_stock_picking","10","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_592_549747f4","Fecha","FECEXP","stock.field_stock_picking_scheduled_date"," ","","","95","88","0","8","","","8","False","mrp_bom_phantom_fix.model_stock_picking","11","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_593_ba4b0231","Hora","HOREXP","stock.field_stock_picking_scheduled_date"," ","","","99","96","0","4","","","4","False","mrp_bom_phantom_fix.model_stock_picking","12","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_594_bc144cde","Alfanumerico","URGENT",""," ","","","100","100","0","1","","","1","True","mrp_bom_phantom_fix.model_stock_picking","13","N","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_595_fc2c7947","Alfanumerico","OBS","stock.field_stock_picking_note"," ","","","140","101","0","40","","","40","False","mrp_bom_phantom_fix.model_stock_picking","14","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_596_9f8f7582","Alfanumerico","MUEEXP",""," ","","","146","141","0","6","","","6","False","mrp_bom_phantom_fix.model_stock_picking","15","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_597_0210bcff","Alfanumerico","PRVCAMCOM",""," ","","","306","147","0","160","","","160","False","mrp_bom_phantom_fix.model_stock_picking","16","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_598_8944155d","Related-Alfanumérico","AGROEXGENACC",""," ","","","322","307","0","16","","","16","False","mrp_bom_phantom_fix.model_stock_picking","17","name","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_599_32ca0681","Numerico","NUMVER",""," ","","","326","323","0","4","","","4","False","mrp_bom_phantom_fix.model_stock_picking","18","0","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_581_49804130","one2many","MOVE_LINES","stock.field_stock_picking_move_line_ids","","","","0","0","0","0","__export__.res_users_5_246af995","2019-06-11 09:31:18","0","True","mrp_bom_phantom_fix.model_stock_picking","19","OEL","","",""
"sga_adaia_integration.sgvar_file_confirmation_order_expedition","False","679","base.user_root","2019-05-29 07:56:20","Confirmación de expedición","","__export__.res_users_5_246af995","2019-06-11 11:25:26","Transferir","mrp_bom_phantom_fix.model_stock_picking","__export__.sgavar_file_var_600_1a1a4774","Alfanumerico","TIPREF",""," ","","","4","1","0","4","__export__.res_users_5_246af995","2019-06-10 09:43:44","4","True","mrp_bom_phantom_fix.model_stock_picking","0","CECA","","OUT","1"
"","","","","","","","","","","","__export__.sgavar_file_var_602_369662cd","Alfanumerico","ACCION",""," ","","","6","5","0","2","__export__.res_users_5_246af995","2019-06-10 10:43:23","2","True","mrp_bom_phantom_fix.model_stock_picking","1","MO","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_603_7e1ff00d","Alfanumerico","EXPORDREF","stock.field_stock_picking_name"," ","","","21","7","0","15","__export__.res_users_5_246af995","2019-06-10 10:43:23","15","True","mrp_bom_phantom_fix.model_stock_picking","2","","","",""
