ID externo,Adaia Type,Campo Adaia,Campo Odoo (si existe),Caracter de relleno,Display Name,Fin cadena,Inicio cadena,L. Decimal,L. Entera,Longitud,Obligatorio,Odoo Model,Sequence,Sga File,V. por defecto
__export__.sgavar_file_var_1_e9e693de,Alfanumerico,TIPEREG,, ,TIPEREG,4,1,0,4,4,True,mrp_bom_phantom_fix.model_stock_picking,0,1,ORCA
__export__.sgavar_file_var_568_1cdd59bf,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp_bom_phantom_fix.model_stock_picking,0,2,CRCA
__export__.sgavar_file_var_600_1a1a4774,Alfanumerico,TIPREF,, ,TIPREF,4,1,0,4,4,True,mrp_bom_phantom_fix.model_stock_picking,0,4,CECA
__export__.sgavar_file_var_616_2c21c95d,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_stock_move_line,0,5,ORLI
__export__.sgavar_file_var_632_b376b9a5,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_stock_move_line,0,6,CRLI
__export__.sgavar_file_var_644_dab0b21c,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_stock_move_line,0,7,OELI
__export__.sgavar_file_var_711_242cc1f9,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_stock_move_line,0,8,CELI
__export__.sgavar_file_var_722_9da5b58c,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,rappel.model_res_partner,0,9,TE 
__export__.sgavar_file_var_782_72d46038,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,rappel.model_res_partner,0,10,TE 
__export__.sgavar_file_var_852_b42ca0bb,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,rappel.model_res_partner,0,11,TE 
__export__.sgavar_file_var_875_f5b04cb9,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_product_product,0,12,AR 
__export__.sgavar_file_var_911_1d8e2a02,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_product_product,0,13,AR 
__export__.sgavar_file_var_947_3adbe2f9,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_product_product,0,14,AR 
__export__.sgavar_file_var_983_34cb4bd3,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_product_template,0,15,ARPR
__export__.sgavar_file_var_1000_1df4c78d,Alfanumerico,TIPREG,,,TIPREG,4,1,0,4,4,True,mrp.model_product_template,0,16,ARPR
__export__.sgavar_file_var_1017_72d5ffc6,Alfanumerico,TIPREG,,,TIPREG,4,1,0,4,4,True,mrp.model_product_template,0,17,ARPR
__export__.sgavar_file_var_1034_5efef933,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_product_product,0,18,AREA
__export__.sgavar_file_var_1039_a0289af0,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_product_product,0,19,AREA
__export__.sgavar_file_var_1044_edda8d17,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_product_product,0,20,AREA
__export__.sgavar_file_var_1051_e616de67,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,stock.model_stock_quant,0,21,ARUB
__export__.sgavar_file_var_1087_518bfd85,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp.model_stock_move_line,0,22,CECN
__export__.sgavar_file_var_1088_433e4f22,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_stock_move_line,0,22,MO
__export__.sgavar_file_var_1113_568e5b46,one2many,QUANT_IDS,stock.field_product_product_stock_quant_ids, ,QUANT_IDS,0,0,0,0,0,True,mrp.model_product_product,0,23,TUB
__export__.sgavar_file_var_3_7f9ce4be,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp_bom_phantom_fix.model_stock_picking,1,1,AG
__export__.sgavar_file_var_570_0a45c89e,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp_bom_phantom_fix.model_stock_picking,1,2,AG
__export__.sgavar_file_var_582_6fb5e32f,Alfanumerico,TIPREG,, ,TIPREG,4,1,0,4,4,True,mrp_bom_phantom_fix.model_stock_picking,1,3,OECA
__export__.sgavar_file_var_602_369662cd,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp_bom_phantom_fix.model_stock_picking,1,4,MO
__export__.sgavar_file_var_617_52f6f4f2,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_stock_move_line,1,5,AG
__export__.sgavar_file_var_633_a326107c,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_stock_move_line,1,6,AG
__export__.sgavar_file_var_645_ad28f32a,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_stock_move_line,1,7,AG
__export__.sgavar_file_var_712_919e1d13,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_stock_move_line,1,8,AG
__export__.sgavar_file_var_723_3ad5ee2d,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,rappel.model_res_partner,1,9,AG
__export__.sgavar_file_var_783_a03f4f27,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,rappel.model_res_partner,1,10,MO
__export__.sgavar_file_var_853_a93dfc48,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,rappel.model_res_partner,1,11,DE
__export__.sgavar_file_var_876_710cdf51,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_product_product,1,12,AG
__export__.sgavar_file_var_912_3509cdc6,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_product_product,1,13,MO
__export__.sgavar_file_var_948_121e7e7b,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_product_product,1,14,DE
__export__.sgavar_file_var_984_95430c35,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_product_template,1,15,AG
__export__.sgavar_file_var_1001_78e1a58c,Alfanumerico,ACCION,,,ACCION,6,5,0,2,2,True,mrp.model_product_template,1,16,MO
__export__.sgavar_file_var_1018_d0a42366,Alfanumerico,ACCION,,,ACCION,6,5,0,2,2,True,mrp.model_product_template,1,17,DE
__export__.sgavar_file_var_1038_4d493e86,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_product_product,1,18,AG
__export__.sgavar_file_var_1040_51e7b758,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_product_product,1,19,MO
__export__.sgavar_file_var_1045_4d45cebc,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp.model_product_product,1,20,DE
__export__.sgavar_file_var_1050_7537a5f6,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,stock.model_stock_quant,1,21,AG
__export__.sgavar_file_var_1089_daa96e8b,Alfanumerico,EXPORDREF,stock.field_stock_move_line_reference, ,EXPORDREF,21,7,0,15,15,True,mrp.model_stock_move_line,1,22,
__export__.sgavar_file_var_556_73903ca4,Alfanumerico,RECORDREF,stock.field_stock_picking_name, ,RECORDREF,22,7,0,16,16,True,mrp_bom_phantom_fix.model_stock_picking,2,1,
__export__.sgavar_file_var_571_e75f5986,Numerico,RECCOD,stock.field_stock_picking_name, ,RECCOD,15,7,0,9,9,True,mrp_bom_phantom_fix.model_stock_picking,2,2,
__export__.sgavar_file_var_583_5ff88451,Alfanumerico,ACCION,, ,ACCION,6,5,0,2,2,True,mrp_bom_phantom_fix.model_stock_picking,2,3,AG
__export__.sgavar_file_var_603_7e1ff00d,Alfanumerico,EXPORDREF,stock.field_stock_picking_name, ,EXPORDREF,21,7,0,15,15,True,mrp_bom_phantom_fix.model_stock_picking,2,4,
__export__.sgavar_file_var_618_5137a78d,Alfanumerico,RECORDREF,stock.field_stock_move_line_reference, ,RECORDREF,22,7,0,16,16,True,mrp.model_stock_move_line,2,5,
__export__.sgavar_file_var_634_51501013,Alfanumerico,RECORDREF,stock.field_stock_move_line_reference, ,RECORDREF,22,7,0,16,16,True,mrp.model_stock_move_line,2,6,
__export__.sgavar_file_var_646_dba4da85,Alfanumerico,EXPORDREF,stock.field_stock_move_line_reference, ,EXPORDREF,21,7,0,15,15,True,mrp.model_stock_move_line,2,7,
__export__.sgavar_file_var_713_11dcc9eb,Alfanumerico,EXPORDREF,stock.field_stock_move_line_reference, ,EXPORDREF,21,7,0,15,15,True,mrp.model_stock_move_line,2,8,
__export__.sgavar_file_var_724_0b2b441d,Alfanumerico,TERREF,base.field_res_partner_ref, ,TERREF,22,7,0,16,16,True,rappel.model_res_partner,2,9,
__export__.sgavar_file_var_789_2d81d6ab,Alfanumerico,TERREF,base.field_res_partner_ref, ,TERREF,22,7,0,16,16,True,rappel.model_res_partner,2,10,
__export__.sgavar_file_var_854_1a1addfc,Alfanumerico,TERREF,base.field_res_partner_ref, ,TERREF,22,7,0,16,16,True,rappel.model_res_partner,2,11,
__export__.sgavar_file_var_877_df1daf8c,Alfanumerico,ARTREF,product.field_product_template_default_code, ,ARTREF,22,7,0,16,16,True,mrp.model_product_product,2,12,
__export__.sgavar_file_var_913_c9917097,Alfanumerico,ARTREF,product.field_product_template_default_code, ,ARTREF,22,7,0,16,16,True,mrp.model_product_product,2,13,
__export__.sgavar_file_var_949_f9a22a48,Alfanumerico,ARTREF,product.field_product_template_default_code, ,ARTREF,22,7,0,16,16,True,mrp.model_product_product,2,14,
__export__.sgavar_file_var_985_ce2cb31e,Alfanumerico,ARTREF,product.field_product_template_default_code, ,ARTREF,22,7,0,16,16,True,mrp.model_product_template,2,15,
